Author,Date,Region,Sentence,generated_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","che la guerra fece bene la sua opera, ecc. Ma Aiaces era un cavaliere franco e produttivo delle armi, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","e vendica ogni colpa, come dice la legge, e a nessun cavaliere perdona il peccato che commette."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu adornato di altra forza di spirito Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo placerà a tutti e se il tempo mi serve ad avere Pompei come cavaliere e non come compagno, io non ripeto più le mie fatiche."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa opera sembra essere dire in modo contrario al fine di far credere, il fine è far credere al fine di farlo credere."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, venti di pioggia cadono, e tu crederesti che tutto il Cielo sia ricaduto nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma ora coloro che non credono ancora in Cristo vedono con noi ciò che spero, e poiché non lo possono negare, si fanno urlare i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La vendite dei morti e le pressioni dei vivi furono infondate da un uomo crudele.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché Colui, che ora è crudele e onorevole per le sue grandi potenze, è affatto afflitto da ogni male e tormentato dalla pietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Spesso gli uomini, dopo essersi fermati nella menzogna, incontra la verità."
